#year,Title,Director,Cast,Genre,level,
2013,Aajcha Divas Majha,Chandrakant Kulkarni,"Sachin Khedekar, Ashwini Bhave, Mahesh Manjrekar, Rishikesh Joshi, Pushkar Shrotri, Anand Ingle",Drama,2,
2013,Navra Maza Bhavra,Kamlakar Gujal,"Dr. Nilesh Sable, Tamanna Nayar, Bhushan Kadu, Pradeep Patwardhan, Vijay Chavan, Kishori Ambiye, Kirti Chaudhary, Deepa Chaphekar, Satish Taare,Viju Khote, Mrunmayee Deshpande, Girija Oak, Aditi Sarangdhar",Comedy,1,
2013,Dankyavar Danka,Kanchan Nayak,"Makarand Anaspure, Suvarna Kale, Vijay Patkar, Ashwini Ekbote, Pravin Tarade, Prakash Dhotre, Mukta Patwardhan",Comedy,,
2013,Sanshay kallol,Vishal Inamdar,"Ankush Choudhary, Pushkar Shrotri, Gauri Nigudkar, Mrunmayee Deshpande, Sanjay Khapre, Omkar Govardhan, Kshitee Jog, Reema Lagoo, Vijay Patwardhan, Sulekha Talvalkar",Comedy,1,
2013,Parees,Ramesh Saalgaonkar,"Umesh Kamat, Kishor Kadam, Vijay Chavhan, Arun Nalawade, Nisha Parulekar, Uday Sabanis, Pradip Patvardhan, Vivek Chabukswar, Indrajeet More, Hrishikesh Shelar",Drama,2,
2013,Chintoo 2,Shrirang Godbole,,Children /Thriller,2,
2013,Kurukshetra,Milind Lele,"Mahesh Manjrekar, Sharad Pongse, Shweta Salve",Drama,1,
2013,Prem Mhanje Prem Mhanje Prem Asta,Mrinal Kulkarni,"Mrinal Kulkarni, Sachin Khedekar, Pallavi Joshi, Sunil Barve, Suhas Joshi, Mohan Agashe, Smita Talwalkar, Neha Joshi, Siddharth Chandekar",Romance,1,
2013,Touring Talkies,Gajendra Ahire,"Subodh Bhave, Trupti Bhoir, Kishor Kadam, Suhas Palshikar, Milind Shinde, Vaibhav Mangale, Neha Pendse, Chinmay Sant",Drama,2,
2013,Yeda,Kishore Belekar,"Ashutosh Rana, Kishori Shahane Vij, Satish Pulekar, Reema Lagoo, Aniket Vishwasrao, Pradhyna Shastri",Thriller,2,
2013,Khel Tamasha,Ashish Pujari,"Teja Devkar, Sanjay Khapre, Milind Shinde, Prakash Dhotre, Rohit Chavan, Sanjay Mohite, Prashant Tapaswi, Varsha Ghatpande, Milind Oak, Suresh Vishwakarma, Chinmay Kulkarni, Praful Kamble",Drama,2,
2013,We are On - Houn Jau de,"Amol Palekar, Sandhya Gokhale","Ashok Saraf, Nivedita Saraf, Vandana Gupte, Dilip Prabhawalkar, Makarand Anaspure, Manoj Joshi,Satish Alekar, Ajit Kelkar, Satish Pulekar, Upendra Limaye, Pushkar Shrotri,Anand Ingale, Ramesh Bhatkar, Shreeram Pendse, Gautam Joglekar, Sandeep Pathak",Drama,0,
2013,Lek Laadki,Yashwant Bhalkar,"Pratiksha Lonkar, Mohan Joshi, Milind Gunaji, Umesh Kamat, Priyanka Yadav, Swapnil Rajshekhar, Supriya Karnik, Ashalata Wabgaonkar, Suhasini Deshpande",Family,1,
2013,Tendalya Nighala Oscarla,Dr. Shashikant Doiphode,"Vinod Revale, Disha Pardeshi, Shraddha Sangavkar, Devendra Ghavre, Saroj Rao, Suyash Gajanand, Sachin Bidwai, Rajesh Choudhary, Nilesh Konde, Yashodhan Mavlankar, Prashant Satardekar",Comedy,0,
2013,"Kasa Kai Mama, Bara Hai Kaa",,,Family,1,
2013,Kokanastha-Taath Kana Haach Baana,Mahesh Manjrekar,"Sachin Khedekar, Medha Manjrekar, Upendra Limaye, Jitendra Joshi, Sonali Kulkarni, Vaibhav Mangle, Savita Malpekar, Priya Bapat",Drama,2,
2013,Ashi Hoti Sant Sakhu,Subhash Sharma,"Nisha Parulekar, Subha Deshpande",Epic,2,
2013,Taani,Sanjeev Kolte,"Ketaki Mategaonkar, Arun Nalawade, Vatsala Polkamvar Ambone, Dr. Vilas Ujavne, Devendra Dodke, Madan Gadkari",Family,2,
2013,Tifan - Ek Kinchali,Kailash Mali,"Aniket Kelkar, Vilas Ujavne, Prajakta, Shivaji Shinde",Drama,1,
2013,Ekulti Ek,Sachin Pilgaonkar,"Sachin Pilgaonkar, Supriya Pilgaonkar, Shriya Pilgaonkar, Siddharth Menon, Ashok Saraf, Kishori Shahane, Nirmiti Sawant",Family,2,
2013,Kalakaar,Sakar Raut,"Bhushan Pradhan, Amruta Deshmukh",Drama,1,
2013,Kho Kho,Kedar Shinde,"Bharat Jadhav, Prajakta Mali, Vijay Chavan,Siddharth Jadhav, Kranti Redkar, Uday Tikekar",Comedy,2,
2013,Power,Vijay Rane,"Nagesh Bhosle, Smita Shewale, Vijay Patkar, Pratiksha Jadhav, Uday Tikekar, Anant Jog, Shreyash Paranjpe, Seema Singh",Action /Drama,2,
2013,Bhootacha Honeymoon,Raj Mohite,"Bharat Jadhav, Ruchita Jadhav, Pratiksha Jadhav, Madhu Kambikar, Santosh Malekar",Drama,1,
2013,Zapatlela 2,Mahesh Kothare,"Adinath Kothare, Sonalee Kulkarni, Sai Tamhankar, Makarand Anaspure, Dilip Prabhavalkar",Comedy /Thriller,0,
2013,Anumati,Gajendra Ahire,"Vikram Gokhale, Reema Lagoo, Neena Kulkarni,Subodh Bhave, Anand Abhyankar, Sai Tamhankar, Kishor Kadam, Arun Nalavde, Rohan Mankani, Neha Pendse",Family,1,
2013,Chaandi,Sameer Naik,"Ramesh Deo, Vaibhav Mangale, Deepak Shirke",Comedy,2,
2013,Chabu Palali Sasarla,Anil Surve,"Ashok Shinde, Maithili Javkar, Prasad Oak, Vijay Patkar, Atul Parchure, Vijay Chavan, Viju Khote, Deepak Shirke, Shantanu Moghe, Shanshak Udharpurkar",Romance,1,
2013,Yoddha,Prasad Inamdar,"Saurabh Gokhale, Sharmishta Raut, Nagesh Bhosale, Priya Berde, Devendra Bhagat, Shivangi Valvekar, Anvay Bendre, Sunil Godbole, Poorva Barve, Atharva Kane",Action /Drama,2,
2013,Premsutra,Tejas Deoskar,"Sandeep Kulkarni, Pallavi Subhash, Lokesh Gupte, Shruthi Marathe, Shubha Khote, Shishir Sharma, Ila Bhat, Meenakshi Martins, Prasad Pandit",Romance,2,
2013,Mazi Shala,Shantanu Anant,"Arun Nalawade, Alka Kubal, Aaksah Waghmode, Jayant Savarkar, Devendra Dodke, Deepjyoti, Ashok Pawade, Baban Joshi, Sanchit Yadav, Poornima Vawhal",Drama,1,
2013,Duniyadari,Sanjay Jadhav,"Swapnil Joshi, Ankush Choudhary, Urmila Kanitkar,Sai Tamhankar, Sandeep Kulkarni, Varsha Usgaonkar, Jitendra Joshi, Sushant Shelar, Richa Pariyalli, Uday Tikekar, Uday Sabnis",Drama,2,
2013,Shreemant Damodar Pant,Kedar Shinde,"Bharat Jadhav, Vijay Chavan, Alka Kubal",Drama,1,
2013,Time Please,Sameer Vidwans,"Umesh Kamat, Priya Bapat, Siddharth Jadhav, Sai Tamhankar",Drama,2,
2013,72 Mile - Ek Pravas,Rajiv Patil,"Chinmay Sant, Smita Tambe, Shravani Solaskar, Chinmay Kambli, Esha Mane",Drama,1,
2013,Popat,Satish Rajwade,"Atul Kulkarni, Amey Wagh, Siddharth Menon",Comedy,2,
2013,Sutradhar,Pratik Kadam,"Chinmay Mandlekar, Vinay Apte, Alka Kubal-Athlye, Aditi Sarangdhar,Sushant Shelar, Purva Pawar, Aby Fizardo, Bhushan Ghadi, Nayan Jadhav, Poonam Jadhav, Sunil Deo, Pradeep Patwardhan, Kamlesh Sawant, Shekhar Phadke, Swapnil Jadhav, Janmejay Patil",Drama,0,
2013,Jarab,"Prakash Panchal,Ankush Choudhary","Ankush Choudhary,Sai Lokur",Action,1,
2013,Sat Na Gat,Raju P,"Bharat Jadhav, Pakhi Hegde, Manjarekar",,0,
2013,Investment,Ratnakar Matkari,"Tushar Dalvi, Supriya Vinod, Sulbha Deshpande, Sanjay Mone, Sandeep Pathak, Praharsh Naik, Bhagyashri Pane, Parharsh Naik, Soham Kolvankar, Milind Pathak",Drama,1,
2013,Narbachi Wadi,Aditya Ajay Sarpotdar,"Dilip Prabhavalkar, Atul Parchure, Nitin Ratnaparakhi, Manoj Joshi, Manoj Patwardhan, Kishori Shahane",Drama,0,
2013,Lagna Pahave Karun,Ajay Naik,"Mukta Barve, Umesh Kamat, Siddharth Chandekar, Tejashri Pradhan",Romance,1,
2013,Samhita – The Script,"Sumitra Bhave, Sunil Sukthankar","Milind Soman, Devika Daftardar, Rajeshwari Sachdeva, Uttara Baokar, Jyoti Subhash, Sarang Sathye, Ashwini Giri, Dr. Sharad Bhutadia, Dr. Shekhar Kulkarni, Neha Mahajan",Drama,0,
2013,Vanshvel,Rajeev Patil,"Ankush Chaudhary, Kishore kadam, Namrata Gaikwad, Sushant Shelar, Shantanu Gangane, Manisha Kelkar, Vidya Karanjikar, Usha Naik",Drama,1,
2013,Maunraag,Vaibhav Abnave,"Ashwini Giri, Devashish Paranjape, Gajanan Paranjape",Drama,0,
2013,Premacha Jhol Jhal,Manoj Kotian,"Siddharth Jadhav, Navin Prabhakar, Smita Gondkar, Tejaswi Patil, Vijay Patkar, Priya Berde",Romance,1,
2013,Mandali Tumchyasathi Kay Pan,Anil Surve,"Bharat Jadhav, Aditi Sarangdhar, Prasad Oak, Shekhar Phadke, Ravindra Berde, Ashok Shinde",Comedy,2,
2013,Laal Chuda,Narendra Shinde,"Mohan Joshi, Dr. Vilas Ujawane, Aditi Saranghar",Romance,0,
2013,Tendulkar Out,Swapnil Jaykar,"Sai Tamhankar, Sayaji Shinde, Santosh Juvekar",Drama,1,
2013,Mangalashtak Once More,Sameer Joshi,"Mukta Barve, Swapnil Joshi, Sai Tamhankar, Kadambari Kadam, Hemant Dhome, Vijay Patvardhan",Romance,1,
2013,Pitruroon,Nitish Bharadwaj,"Tanuja, Sachin Khedekar, Suhas Joshi, Sudha Murthy","Suspense,Drama",2,
2013,Vijay Aso,Rahul Jadhav,"Namrata Gaikwad, Chinmay Mandlekar, Murli Sharma","Action,Drama",1,
2013,Rangkarmi,Sanjiv Kolte,"Amol Kolhe, Mohan Joshi",Drama,2,
2012,Sujay Dahake,"Anshuman Joshi, Ketaki Mategaonkar, Dilip Prabhavalkar, Ashwini Giri, Jitendra Joshi, Santosh Juvekar, Amruta Khanvilkar and Nandu Jadhav",Romance /Drama,,1,
2012,Jitendra Shikerkar,"Avinash Narkar, Sampada Kulkarni, Sharad Ponkshe",Romance /Action,,0,
2012,Amit Abhyankar,"Nandu Madhav, Santosh Juvekar, Madhura Velankar-Satam",Comedy,[2],1,
2012,Satrangi Re,Aditya Sarpotdar,"Adinath Kothare, Amruta Khanvilkar, Siddharth Chandekar, Pooja Sawant, Bhushan Pradhan, Soumil Shringarpure, Uday Tikekar, Vidyadhar Joshi, Supriya Matkari, Madhav Abhyankar",Musical /Romance,1,
2012,Yedyanchi Jatra,Milind Arun Kawade,"Bharat Jadhav, Sneha Kulkarni, Mohan Joshi, Vinay Apte",Comedy,0,
2012,Gola Berij,Kshitij Zarapkar,"Nikhil Ratnaparkhi, Neha Deshpande, Dilip Prabhawalkar",Comedy,2,
2012,Bluffmaster,Kishor Saav,"Ankush Choudhary, Tejaswini Pandit, Pushkar Shrotri",Romance /Comedy,0,
2012,Aai Mala Maru Nako (3D),Satyaprakash Mangtani,"Avinash Jadhav, Mrunalni,Manojanand,Komal dhillon,Jayshree T., Viju khote, Baby Muskan, Shailesh Pitambre, Suhas.D.Joshi, Mukesh Khanna",Drama,1,
2012,Sambha - Aajcha Chava,,,,0,
2012,Kuni Mulgi Deta Ka Mulgi,Ashok Karlekar,"Ashutosh Kulkarni, Sheetal Maulik, Jaywant Patekar, Megha Ghadge",Comedy,1,
2012,Matter,Satish Motling,"Santosh Juvekar,Jitendra Joshi","Crime,Action",2,
2012,Chinu,,,,1,
2012,Kay Karu N Kasa Karu,Vinay A. Lad,"Bharat Jadhav, Deepali Sayyad, Aditi Sarangdhar",Comedy,1,
2012,Bhanamati,,,,2,
2012,Thodi Khatti Thodi Hatti,,,,2,
2012,Teen Bayka Fajiti Aika,Raju Parsekar,"Makarand Anaspure, Kranti Redkar, Nisha Parulkar, Tejashree Khele, Surekha Kudachi,Vijay Chavan, Kuldeep Pawar, Swapnil Rajshekhar, Varad Chavhan, Digambar Naik",Comedy,0,
2012,Chirgut,Pradeep Ghonshikar,"Upendra Limaye, Chinmay Mandlekar, Siya Patil",Drama,1,
2012,Karuna Shiv Shankara,C.Vishal,"Vijay Chavan, Nisha Parulekar, Deepjyoti Naik, Varad Chavhan, Yuugg, Pranali Londhe, Umesh Bolke, Prashant Neman",Drama,2,
2012,Baboo Band Baaja[6],Rajesh Pinjani,"Mitalee Jagtap Varadkar, Vivek Chabukswar, Milind Shinde",Drama,2,
2012,Kashala Udyachi Baat,Pramod Joshi,"Sachin Khedekar, Anupam Kher, Mrinal Kulkarni",Comedy /Drama,1,
2012,Raja Shivchattrapati,Hemant Devdhar,"Dr. Amol Kolhe, Mrinal Kulkarni, Avinash Narkar",Historical,1,
2012,Uchala Re Uchala,"Yashwant Chaughule, Amol Bhave","Vaibhav Mangale, Trupti Bhoir, Anand Ingle",Comedy,2,
2012,Aarohi Gosht Tighanchi,Pramod Joshi,"Ketaki Mategaonkar, Kiran Karmarkar, Mrinal Kulkarni",Musical /Drama,1,
2012,Masala[7],Sandesh Kulkarni,"Girish Kulkarni, Amruta Subhash, Shreeram Lagoo",Drama,1,
