Year,Title,Genre,Director,Cast,Level
2015,Dove,Romance,Santhu,"Anoop Sa. Ra. Govindu, Aditi Rao, Rakesh Adiga, Madalasa Sharma, Avinash, Jai Jagadish, Jaggesh",2
2015,Ring Master,Fantasy thriller,Vishruth Naik,"Arun Sagar, Anushree, Shrunga, Shwetha",2
2015,Titlu Beka,Romance,Anand G. K.,"Ayush, Neha Patil, Manasi, Vardhan, Raghavendra",2
2015,7,Drama,Chandrashekar Srivastav,"Chandrashekar Srivastav, Roopa Nataraj, Sadhu Kokila, Avinash, Rangayana Raghu, Ravi Khale, Danny Kuttappa",2
2015,Pandith Bhagyavidhatha,Drama,Krishnendra Pandit,"Krishnendra Pandith, Meghashree, Deepa Gowda, Mallesh Edehalli",2
2015,Plus,Suspense Drama,Gadda Viji,"Anant Nag, Sudharani, Chetan Chandra, Rithesh, Shalini Vadnikatti, P. Ravi Shankar, Achyuth Kumar",2
2015,Ganga,Action,Sai Prakash,"Malashri, Ravi Chethan, Srinivasa Murthy, Suchendra Prasad, Pavitra Lokesh",2
2015,Ring Road Suma,Crime drama,Priya Belliyappa,"Khushie, Nikita Thukral, Duniya Vijay, Avinash, Malavika Avinash",2
2015,Vascodigama,Comedy,Madhuchandra,"Kishore, Parvathy Nair, Suchendra Prasad",2
2015,Bettanagere,Crime-thriller,Mohan Gowda Bettanagere,"Sumanth Shailendra, Akshay, Nayana, Vinod Kambli, Avinash, Achyuth Kumar, Bullet Prakash",2
2015,Kaada Haadiya Hoogalu,Childrens',L. N. Mukunda Raj,"Siri Gowri, Prakash Urs, Venkata Raju, Nagathihalli Chandrashekar, B Suresh, K V Nagaraja Murthy",2
2015,Kanchana,Horror,Vijay Surana,"Rahul, Roopa Nataraj, Vijay Chendur, Hemanth, Hanumanthe Gowda, Geetha, Roopa Gowda",2
2015,Mana Mechhida Bangaru,Romance,Sai Prakash,"Bangaru Hanumanthu, Roja, P. Ravi Shankar, Srinivasa Murthy, Ramesh Bhat, Sadhu Kokila, Shobhraj, Shashikala",2
2015,Mumtaz,Romance,Raghava Murali,"Dharma Keerthiraj, Sharmila Mandre, Keerthiraj, Chikkanna, M. S. Umesh, Rockline Sudhakar, Darshan",2
2015,Thippaji Circle,Biographical drama,Aditya Chikkanna,"Pooja Gandhi, Suresh Sharma, Dhruva Sharma, Neha Patil, Bhavya, Anitha Bhat",2
2015,Madam Helida Kathe,Childrens',"Bhadravathi Ramakrishna
 D Dasharath","Baby Sanjana, Master B N Chethan, Master Bharath, Master Sumukha, Master Bharani, Mandeep Roy, Mukhyamantri Chandru, Amrutha Katti",2
2015,Ouija,Supernatural horror,Rajkumar Reddy,"Bharath, Shraddha Das, Madhuri Itagi, Gayathri Iyer, Kadambari Jethwani, Avinash, Sayaji Shinde",2
2015,Rakshasi,Horror,Ashraf,"Navarasan, Sindhu Lokanath, G. K. Reddy, Kuri Pratap, Sujith",2
2015,Sri Sai,Devotional,Sai Prakash,"Harish Raj, Naveen Krishna, Sai Prakash, Roja, Disha Poovaiah, Srinivasa Murthy, Ramesh Bhat, Bank Janardhan",2
2015,Vamshodharaka,Drama,Aditya Chikkanna,"Vijay Raghavendra, Meghana Raj, Naveen Krishna, Lakshmi, Srinivasa Murthy",2
2015,Ram-Leela,Romantic,Vijay Kiran,"Chiranjeevi Sarja, Amulya, Sanjjanaa, Urvashi, Sadhu Kokila, Rangayana Raghu",2
2015,Baa Naale Baa,Thriller,T. K. Arasu,"Ajith Kumar, Suvarna, Dharani, Harshitha, Shobhraj, Ramesh Surya, Bank Janardhan",2
