#Year,Title,Genre,Studio,Cast,Level,
2013,The Pretty One,,Provenance Pictures / RCR Pictures,"Jenée LaMarque (director/screenplay); Zoe Kazan, Jake Johnson, Ron Livingston, Sterling Beaumon, John Carroll Lynch",2,
2013,Detective Conan: Private Eye in the Distant Sea,,TMS Entertainment / Toho,"Kobun Shizuno (director); Takeharu Sakurai (screenplay); Minami Takayama,Kappei Yamaguchi, Rikiya Koyama, Wakana Yamazaki, Ryō Horikawa, Yūko Miyamura, Megumi Hayashibara",0,
2013,Raze,,IFC Films,"Josh C. Waller (director/screenplay); Robert Beaucage, Kenny Gage (screenplay);Zoë Bell, Rachel Nichols, Tracie Thoms",1,
2013,Star Trek Into Darkness,,Paramount Pictures /Skydance Productions /Bad Robot,"J. J. Abrams (director); Roberto Orci, Alex Kurtzman, Damon Lindelof(screenplay); John Cho, Benedict Cumberbatch, Alice Eve, Bruce Greenwood,Simon Pegg, Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban, Peter Weller,Anton Yelchin",0,
2013,The Big Wedding,,Lionsgate,"Justin Zackham (director/screenplay); Robert De Niro, Diane Keaton, Ben Barnes,Katherine Heigl, Amanda Seyfried, Topher Grace, Susan Sarandon, Robin Williams",2,
2013,The English Teacher,,Artina Films,"Craig Zisk (director/screenplay); Dan and Stacy Chariton (screenplay); Julianne Moore, Michael Angarano, Greg Kinnear, Lily Collins, Nathan Lane",2,
2013,The Look of Love,,Film4 Productions,"Michael Winterbottom (director) Matt Greenhalgh (screenplay); Steve Coogan,Imogen Poots, Anna Friel, Tamsin Egerton",1,
2013,So Young,,China Film Group,"Zhao Wei (director); Li Qiang (screenplay); Mark Chao, Han Geng, Yang Zishan,Jiang Shuying",1,
2013,After Earth,,Columbia Pictures,"M. Night Shyamalan (director/screenplay); Gary Whitta (screenplay); Jaden Smith,Will Smith",1,
2013,The Family,,Relativity Media,"Luc Besson (director/screenplay); Michael Caleo (screenplay); Robert De Niro,Michelle Pfeiffer, Dianna Agron, Tommy Lee Jones, Vincent Pastore",2,
2013,The Great Gatsby,,Warner Bros.,"Baz Luhrmann (director/screenplay); Leonardo DiCaprio, Tobey Maguire, Carey Mulligan, Joel Edgerton, Isla Fisher, Jason Clarke",1,
2013,The Purge,,Universal Pictures,"James DeMonaco (director/screenplay); Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane, Edwin Hodge, Tony Oller, Rhys Wakefield, Arija Bareikis, Chris Mulkey",0,
2013,Bombay Talkies,,Viacom 18 Motion Pictures,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee (directors); Rani Mukerji, Randeep Hooda, Saqib Saleem, Vineet Kumar Singh, Nawazuddin Siddiqui, Sadashiv Amrapurkar, Naman Jain, Katrina Kaif",2,
2013,Shootout at Wadala,,Balaji Motion Pictures,"Sanjay Gupta (director/screenplay); Sanjay Bhatia, Abhijit Deshpand (screenplay);Anil Kapoor, John Abraham, Kangana Ranaut, Sonu Sood, Manoj Bajpai, Ronit Roy, Mahesh Manjrekar, Tusshar Kapoor",0,
2013,Fast & Furious 6,,Universal Pictures,"Justin Lin (director); Chris Morgan (screenplay); Vin Diesel, Paul Walker, Dwayne Johnson",1,
2013,Go Goa Gone,,Eros International,"Raj Nidimoru, Krishna D.K. (director/screenplay); Saif Ali Khan, Raj Kadel, Kunal Khemu, Vir Das, Anand Tiwari, Puja Gupta, Larissa Bonesi",1,
2013,Peeples,,Lionsgate,"Tina Gordon Chism (director/screenplay); Craig Robinson, Kerry Washington,David Alan Grier",0,
2013,The Bling Ring,,A24,"Sofia Coppola (director/screenplay); Emma Watson, Israel Broussard, Katie Chang, Claire Julien, Taissa Farmiga, Leslie Mann, Gavin Rossdale, Paris Hilton",1,
2013,Aurangzeb,,Yash Raj Films,"Atul Sabharwal (director/screenplay); Arjun Kapoor, Prithviraj Sukumaran, Sasha Agha, Rishi Kapoor",1,
2013,Jodorowsky's Dune,,Sony Pictures Classics,"Frank Pavich (director); Alejandro Jodorowsky, Michel Seydoux, H. R. Giger, Chris Foss, Nicolas Winding Refn, Amanda Lear, Richard Stanley",0,
2013,Inside Llewyn Davis,,CBS Films,"Joel Coen, Ethan Coen (director/screenplay); Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund, F. Murray Abraham, Justin Timberlake",0,
2013,The Great Beauty,,Medusa Film,"Paolo Sorrentino (director/screenplay); Umberto Contarello (screenplay); Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso",1,
2013,Now You See Me,,Summit Entertainment,"Louis Leterrier (director); Josh Appelbaum, André Nemec, Ed Solomon, Boaz Yakin, Edward Ricourt (screenplay); Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Mélanie Laurent, Isla Fisher, Dave Franco, Michael Kelly, Common,Michael Caine, Morgan Freeman",2,
2013,All Is Lost,,Lionsgate,J. C. Chandor (director/screenplay); Robert Redford,2,
2013,Only God Forgives,,RADiUS-TWC,"Nicolas Winding Refn (director/screenplay); Ryan Gosling, Kristin Scott Thomas,Vithaya Pansringarm, Rhatha Phongam, Gordon Brown, Tom Burke",1,
2013,The Hangover Part III,,Warner Bros. / Legendary Pictures,"Todd Phillips (director/screenplay); Craig Mazin (screenplay); Bradley Cooper, Ed Helms, Zach Galifianakis, Ken Jeong, Heather Graham, Jeffrey Tambor, Justin Bartha, John Goodman",0,
2013,Nebraska,,Paramount Vantage,"Alexander Payne (director); Bob Nelson (screenplay); Bruce Dern, Will Forte, Bob Odenkirk, Stacy Keach, June Squibb",0,
2013,Epic,,20th Century Fox / Blue Sky Studios,"Chris Wedge (director); James V. Hart, William Joyce, Daniel Shere, Tom J. Astle, Matt Ember (screenplay); Colin Farrell, Josh Hutcherson, Amanda Seyfried,Christoph Waltz, Aziz Ansari, Chris O'Dowd, Pitbull, Jason Sudeikis, Steven Tyler,Beyoncé",1,
2013,Yeh Jawaani Hai Deewani,,Eros International,"Ayan Mukerji (director/screenplay); Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Kunaal Roy Kapur",0,
2013,World War Z,,Paramount Pictures /Skydance Productions /GK Films,"Marc Forster (director); Matthew Michael Carnahan, Drew Goddard, Damon Lindelof (screenplay); Brad Pitt, Mireille Enos, James Badge Dale, Matthew Fox",2,
2013,This Is the End,,Columbia Pictures /Mandate Pictures,"Evan Goldberg, Seth Rogen (directors/screenplay); James Franco, Jonah Hill, Seth Rogen, Jay Baruchel, Danny McBride, Craig Robinson, Michael Cera, Emma Watson",1,
2013,Despicable Me 2,,Universal Pictures /Illumination Entertainment,"Chris Renaud, Pierre Coffin (directors); Cinco Paul, Ken Daurio (screenplay);Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Elsie Fisher, Dana Gaier, Russell Brand, Steve Coogan, Ken Jeong",0,
2013,Monsters University,,Walt Disney Pictures /Pixar Animation Studios,"Dan Scanlon (director/screenplay); Daniel Gerson, Robert L. Baird (screenplay);Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Peter Sohn, Joel Murray, Sean Hayes, Dave Foley, Charlie Day, Alfred Molina, Nathan Fillon, Julia Sweeney",0,
2013,The Internship,,20th Century Fox,"Shawn Levy (director); Vince Vaughn (screenplay); Vince Vaughn, Owen Wilson",0,
2013,The Conjuring,,Warner Bros. / New Line Cinema,"James Wan (director); Chad Hayes, Carey Hayes (screenplay); Patrick Wilson,Vera Farmiga, Ron Livingston, Lili Taylor",1,
2013,Man of Steel,,Warner Bros. / Legendary Pictures,"Zack Snyder (director); David S. Goyer (screenplay); Henry Cavill, Amy Adams,Michael Shannon, Kevin Costner, Diane Lane, Laurence Fishburne, Antje Traue,Ayelet Zurer, Christopher Meloni, Harry Lennix, Russell Crowe",2,
2013,Fukrey,,Excel Entertainment,"Mrighdeep Singh Lamba (director/screenplay); Vipul Vig (screenplay); Pulkit Samrat, Manjot Singh, Ali Fazal, Priya Anand, Richa Chadda, Vishakha Singh,Pankaj Tripathi",0,
2013,My Little Pony: Equestria Girls,,Hasbro Studios,"Jayson Thiessen (director); Meghan McCarthy (screenplay); Tara Strong,Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Rebecca Shoichet, Nicole Oliver",0,
2013,Life of a King,,Millennium Films,"Jake Goldberger (director/screenplay); David Scott, Dan Wetzel (screenplay);Cuba Gooding Jr., Dennis Haysbert, Lisa Gay Hamilton",1,
2013,The Lone Ranger,,Walt Disney Pictures /Jerry Bruckheimer Films,"Gore Verbinski (director); Ted Elliott, Terry Rossio, Eric Aronson, Justin Haythe(screenplay); Johnny Depp, Armie Hammer, Tom Wilkinson, William Fichtner,Barry Pepper, James Badge Dale, Helena Bonham Carter",1,
2013,Turbo,,20th Century Fox /DreamWorks Animation,"David Soren (director/screenplay); Robert Siegel, Darren Lemke (screenplay);Ryan Reynolds, Paul Giamatti, Michael Peña, Snoop Dogg, Maya Rudolph,Michelle Rodriguez, Samuel L. Jackson",1,
2013,White House Down,,Columbia Pictures,"Roland Emmerich (director); James Vanderbilt (screenplay); Channing Tatum,Jamie Foxx, Maggie Gyllenhaal, Jason Clarke, Richard Jenkins, James Woods",2,
2013,About Time,,Universal Pictures,"Richard Curtis (director/screenplay); Domhnall Gleeson, Rachel McAdams, Bill Nighy, Tom Hollander, Margot Robbie",1,
2013,Europa Report,,Wayfare Entertainment,"Sebastián Cordero (director); Philip Gelatt (screenplay); Sharlto Copley, Michael Nyqvist, Daniel Wu, Anamaria Marinca, Christian Camargo, Karolina Wydra,Embeth Davidtz, Dan Fogler",0,
2013,Tiny Times,,China Lion,"Guo Jinming (director/screenplay); Yang Mi, Amber Kuo, Haden Kuo, Xie Yilin",2,
2013,Copperhead,,The Film Collective,"Ronald F. Maxwell (director); Bill Kauffman (screenplay); Billy Campbell, Angus Macfadyen, Peter Fonda, Augustus Prew, Lucy Boynton, François Arnaud, Casey Thomas Brown, Josh Cruddas, Genevieve Steele",1,
2013,Ghanchakkar,,UTV Motion Pictures,"Raj Kumar Gupta (director); Aarti Bajaj (screenplay); Emraan Hashmi, Vidya Balan",0,
2013,The Heat,,20th Century Fox,"Paul Feig (director); Katie Dippold, Lee Eisenberg, Gene Stupnitsky (screenplay);Sandra Bullock, Melissa McCarthy, Demián Bichir, Michael Rapaport, Marlon Wayans",2,
2013,Pacific Rim,,Warner Bros. / Legendary Pictures,"Guillermo del Toro (director/screenplay); Travis Beacham (screenplay); Charlie Hunnam, Idris Elba, Rinko Kikuchi, Charlie Day, Robert Kazinsky, Max Martini,Ron Perlman",1,
2013,Hammer of the Gods,,Magnet Releasing,"Farren Blackburn (director); Matthew Read (screenplay); Charlie Bewley, Clive Standen, James Cosmo",2,
2013,Lootera,,Balaji Motion Pictures,"Vikramaditya Motwane (director/screenplay); Bhavani Iyer (screenplay); Ranveer Singh, Sonakshi Sinha",1,
2013,The World's End,,Focus Features,"Edgar Wright (director); Simon Pegg, Nick Frost, Paddy Considine, Martin Freeman, Eddie Marsan, Rosamund Pike",1,
2013,Bhaag Milkha Bhaag,,Reliance Entertainment,"Rakeysh Omprakash Mehra (director) Prasoon Joshi (screenplay); Farhan Akhtar,Sonam Kapoor, Divya Dutta, Dev Gill, Meesha Shafi, Yograj Singh, Art Malik,Prakash Raj, Pavan Malhotra, Rebecca Breeds, Dalip Tahil",1,
2013,Dealin' with Idiots,,IFC Films,"Jeff Garlin (director/screenplay); Jeff Garlin, Christopher Guest, Fred Willard, Bob Odenkirk, J. B. Smoove, Gina Gershon, Kerri Kenney-Silver, Jami Gertz, Timothy Olyphant, Richard Kind, Steve Agee, Jim Sheridan, Nia Vardalos",0,
2013,Grown Ups 2,,Columbia Pictures,"Dennis Dugan (director); Adam Sandler, Fred Wolf, Tim Herlihy (screenplay); Adam Sandler, Kevin James, Chris Rock, David Spade, Salma Hayek, Maya Rudolph, Maria Bello, Nick Swardson",1,
2013,Killing Season,,Millennium Films,"Mark Steven Johnson (director); Evan Daugherty (screenplay); Robert De Niro,John Travolta, Milo Ventimiglia, Elizabeth Olin",2,
2013,Pokémon the Movie: Genesect and the Legend Awakened,,"Toho / OLM, Inc.","Kunihiko Yuyama (director); Rica Matsumoto, Ikue Ōtani, Aoi Yūki, Mamoru Miyano",0,
2013,The Wolverine,,20th Century Fox / Marvel Entertainment,"James Mangold (director); Christopher McQuarrie, Mark Bomback (screenplay);Hugh Jackman, Hiroyuki Sanada, Tao Okamoto, Rila Fukushima, Famke Janssen,Will Yun Lee, Svetlana Khodchenkova, Hal Yamanouchi, Brian Tee",0,
2013,R.I.P.D.,,Universal Pictures,"Robert Schwentke (director); Matt Manfredi, Phil Hay (screenplay); Ryan Reynolds, Jeff Bridges, Kevin Bacon, Stephanie Szostak, Mary-Louise Parker",0,
2013,D-Day,,DAR motion pictures,"Nikhil Advani (director/screenplay); Ritesh Shah, Suresh Nair (screenplay); Arjun Rampal, Irrfan Khan, Huma Qureshi, Rishi Kapoor, Shruti Haasan, Nassar,Sandeep Kulkarni, K. K. Raina, Chandan Roy Sanyal, Imran Hasnee, Maryam Zakaria",1,
2013,Red 2,,Summit Entertainment,"Dean Parisot (director); Erich Hoeber, Jon Hoeber (screenplay); Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Lee Byung-hun, Anthony Hopkins, Helen Mirren",2,
2013,The Wind Rises,,Touchstone Pictures /Studio Ghibli,"Hayao Miyazaki (director/screenplay); Hideaki Anno, Miori Takimoto, Hidetoshi Nishijima, Masahiko Nishimura, Steve Alpert, Morio Kazama, Keiko Takeshita,Mirai Shida, Jun Kunimura, Shinobu Otake, Mansai Nomura",2,
2013,The To Do List,,CBS Films,"Maggie Carey (director/screenplay); Aubrey Plaza, Rachel Bilson, Bill Hader, Andy Samberg, Scott Porter, Connie Britton, Clark Gregg, Christopher Mintz-Plasse,Donald Glover, Johnny Simmons, Sarah Steele, Alia Shawkat, Nolan Gould",0,
2013,Snowpiercer,,CJ Entertainment,"Bong Joon-ho (director/screenplay); Kelly Masterson (screenplay); Chris Evans,Song Kang-ho, Tilda Swinton, Jamie Bell, Octavia Spencer, John Hurt, Ed Harris",0,
2013,The Lifeguard,,Screen Media Films,"Liz W. Garcia (director/screenplay); Kristen Bell, David Lambert",1,
2013,The Smurfs 2,,Columbia Pictures / Sony Pictures Animation,"Raja Gosnell (director); J. David Stern, David N. Weiss, Karey Kirkpatrick, Jay Sherick, David Ronn (screenplay); Neil Patrick Harris, Jayma Mays, Hank Azaria,Brendan Gleeson, Katy Perry",0,
2013,Confusion Na Wa,,Cinema KpataKpata,"Kenneth Gyang (director); Kenneth Gyang, Tom Rowlands-Rees (screenplay);Ramsey Nouah, OC Ukeje, Ali Nuhu",0,
2013,2 Guns,,Universal Pictures,"Baltasar Kormákur (director); Blake Masters (screenplay); Denzel Washington,Mark Wahlberg",2,
2013,The Canyons,,IFC Films,"Paul Schrader (director); Bret Easton Ellis (screenplay); Lindsay Lohan, James Deen",1,
2013,Planes,,Walt Disney Pictures /DisneyToon Studios,"Klay Hall (director), Jeffrey M. Howard (screenplay); Dane Cook, Stacy Keach,Priyanka Chopra, Brad Garrett, Cedric the Entertainer, Julia Louis-Dreyfus, Roger Craig Smith, John Cleese, Carlos Alazraqui, Val Kilmer, Anthony Edwards",2,
2013,We're the Millers,,Warner Bros. / New Line Cinema,"Rawson Thurber (director); Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter, Nick Offerman, Kathryn Hahn, Ed Helms",0,
2013,Elysium,,TriStar Pictures,"Neill Blomkamp (director/screenplay); Matt Damon, Jodie Foster, Sharlto Copley,Alice Braga, Diego Luna, Wagner Moura, William Fichtner",0,
2013,Percy Jackson: Sea of Monsters,,20th Century Fox,"Thor Freudenthal (director); Scott Alexander, Larry Karaszewski (screenplay);Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Douglas Smith, Stanley Tucci",0,
2013,Chennai Express,,Red Chillies Entertainment,"Rohit Shetty (director); Shah Rukh Khan, Deepika Padukone",2,
2013,Thalaivaa,,Sri Mishri Productions,"A. L. Vijay (director/screenplay); Vijay, Sathyaraj, Amala Paul, Ragini Nandwani, N. Santhanam, Rajiv Pillai, Abhimanyu Singh",2,
2013,Tiny Times 2,,China Lion,"Guo Jingming (director/screenplay); Yang Mi, Amber Kuo, Ke Zhendong, Rhydian Vaughan",2,
2013,Kick-Ass 2,,Universal Pictures,"Jeff Wadlow (director/screenplay); Matthew Vaughn (screenplay); Aaron Johnson,Chloë Grace Moretz, Christopher Mintz-Plasse, John Leguizamo, Jim Carrey",1,
2013,The Butler,,The Weinstein Company,"Lee Daniels (director); Danny Strong (screenplay); Forest Whitaker, Oprah Winfrey",1,
2013,Paranoia,,Relativity Media,"Robert Luketic (director); Barry Levy, Jason Dean Hall (screenplay); Liam Hemsworth, Harrison Ford, Gary Oldman, Amber Heard, Richard Dreyfuss, Ashley Benson, Josh Holloway, Lucas Till, Julian McMahon, Paula Jai Parker, Angela Sarafyan, Embeth Davidtz",0,
2013,Para Elisa,,Produccions del Primer Cinquena,"Juanra Fernández (director); Ana Turpin, Ona Casamiquela, Luisa Gavasa",0,
2013,The Mortal Instruments: City of Bones,,Screen Gems,"Harald Zwart (director); Jessica Postigo, I. Marlene King (screenplay); Lily Collins,Jamie Campbell Bower, Robert Sheehan, Kevin Zegers, Lena Headey, Kevin Durand, Aidan Turner, Jemima West, Godfrey Gao, C. C. H. Pounder, Jared Harris, Jonathan Rhys Meyers, Robert Maillet, Stephen R. Hart, Elyas M'Barek,Chad Connell, Rob Grangle",0,
2013,Main Hoon Shahid Afridi,,Six Sigma Entertainment,"Syed Ali Raza Usama (director); Noman Habib, Humayun Saeed, Javed Sheikh,Nadeem Baig, Ismail Tara, Shafqat Cheema",0,
2013,Closed Circuit,,Focus Features,"John Crowley (director); Steven Knight (screenplay); Eric Bana, Rebecca Hall, Jim Broadbent, Ciarán Hinds",2,
2013,Gravity,,Warner Bros.,"Alfonso Cuarón (director/screenplay); Jonás Cuarón, Rodrigo Garcia (screenplay);Sandra Bullock, George Clooney",2,
2013,Nurse 3D,,Lionsgate,"Doug Aarniokoski (director); David Loughery (screenplay); Paz de la Huerta,Katrina Bowden, Corbin Bleu",1,
2013,Labor Day,,Paramount Pictures,"Jason Reitman (director/screenplay); Kate Winslet, Josh Brolin, Gattlin Griffith,Tobey Maguire",1,
2013,One Direction: This Is Us,,TriStar Pictures,"Morgan Spurlock (director); Harry Styles, Niall Horan, Louis Tomlinson, Zayn Malik, Liam Payne",2,
2013,Palo Alto,,Tribeca Film,"Gia Coppola (director/screenplay); James Franco, Emma Roberts, Jack Kilmer",0,
2013,Under the Skin,,A24 Films,Jonathan Glazer (director/screenplay); Walter Campbell (screenplay); Scarlett Johansson,2,
2013,12 Years a Slave,,Fox Searchlight Pictures,"Steve McQueen (director/screenplay); John Ridley (screenplay); Chiwetel Ejiofor,Michael Fassbender, Benedict Cumberbatch, Paul Dano, Paul Giamatti, Lupita Nyong'o, Sarah Paulson, Brad Pitt, Alfre Woodard",2,
2013,Getaway,,Warner Bros.,"Courtney Solomon, Yaron Levy (directors); Sean Finegan, Gregg Maxwell Parker (screenplay); Ethan Hawke, Selena Gomez, Jon Voight, James Maslow",2,
2013,Prisoners,,Warner Bros.,"Denis Villeneuve (director); Aaron Guzikowski (screenplay); Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano",2,
2013,Philomena,,20th Century Fox,"Stephen Frears (director); Steve Coogan, Jeff Pope (screenplay); Judi Dench,Steve Coogan, Mare Winningham, Anna Maxwell Martin, Michelle Fairley, Barbara Jefford, Simone Lahbib, Sophie Kennedy Clark, Wunmi Mosaku",0,
2013,Rush,,Universal Pictures,"Ron Howard (director); Peter Morgan (screenplay); Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino",2,
2013,The Zero Theorem,,MediaPro Studios,"Terry Gilliam (director); Pat Rushin (screenplay); Christoph Waltz, Mélanie Thierry, Olivia Wilde, David Thewlis",1,
2013,Riddick,,Universal Pictures,"David Twohy (director/screenplay); Vin Diesel, Jordi Mollà, Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban",0,
2013,Diana,,Screen Gems,"Oliver Hirschbiegel (director); Stephen Jeffreys (screenplay); Naomi Watts,Naveen Andrews",0,
2013,The Fifth Estate,,Touchstone Pictures /DreamWorks Pictures,"Bill Condon (director); Josh Singer (screenplay); Benedict Cumberbatch, Daniel Brühl, Laura Linney, Anthony Mackie, David Thewlis, Carice van Houten, Peter Capaldi",1,
2013,Tim's Vermeer,,Sony Pictures Classics,Teller (director); Tim Jenison,0,
2013,Bad Words,,Focus Features,"Jason Bateman (director); Andrew Dodge (screenplay); Jason Bateman, Kathryn Hahn, Allison Janney, Ben Falcone, Rachael Harris, Philip Baker Hall",2,
2013,Horns,,Mandalay Pictures / Red Granite Pictures,Alexandre Aja (director); Keith Bunin (screenplay); Daniel Radcliffe,2,
2013,The Railway Man,,The Weinstein Company,"Jonathan Teplitzky (director); Frank Cottrell Boyce, Andy Paterson (screenplay);Colin Firth, Nicole Kidman, Jeremy Irvine, Stellan Skarsgård",2,
2013,Shuddh Desi Romance,,Yash Raj Films,"Maneesh Sharma (director); Jaideep Sahni (screenplay); Sushant Singh Rajput,Parineeti Chopra, Vaani Kapoor, Rishi Kapoor",0,
2013,Dallas Buyers Club,,Focus Features,"Jean-Marc Vallée (director) Craig Borten, Melisa Wallack (screenplay); Matthew McConaughey, Jared Leto, Jennifer Garner",0,
2013,Enough Said,,Fox Searchlight,"Nicole Holofcener (director); Anthony Bregman, Stefanie Azpiazu (screenplay);James Gandolfini, Julia Louis-Dreyfus, Toni Collette, Catherine Keener, Ben Falcone, Toby Huss, Michaela Watkins",1,
2013,The F Word,,No Trace Camping / Caramel Film / Fastnet Films,"Michael Dowse (director); Elan Mastai (screenplay); Daniel Radcliffe, Adam Driver,Zoe Kazan, Megan Park",1,
2013,Fading Gigolo,,Millennium Entertainment,"John Turturro (director/screenplay); John Turturro, Woody Allen, Sharon Stone,Sofía Vergara, Vanessa Paradis, Liev Schreiber",0,
2013,"Hateship, Loveship",,IFC Films,"Liza Johnson (director); Mark Poirier (screenplay); Kristen Wiig, Hailee Steinfeld,Guy Pearce, Jennifer Jason Leigh, Nick Nolte",1,
2013,In Secret,,Roadside Attractions,"Charlie Stratton (director/screenplay); Tom Felton, Elizabeth Olsen, Oscar Isaac,Jessica Lange",2,
2013,Mandela: Long Walk to Freedom,,The Weinstein Company,"Justin Chadwick (director); William Nicholson (screenplay); Idris Elba, Naomie Harris",0,
2013,Enemy,,Mecanismo Films / micro_scope / Rhombus Media / Roxbury Pictures,"Denis Villeneuve (director); Javier Gullón (screenplay); Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon, Isabella Rossellini",2,
2013,The Grand Seduction,,Entertainment One,"Don McKellar (director); Ken Scott, Michael Dowse (screenplay); Taylor Kitsch,Brendan Gleeson, Liane Balaban, Gordon Pinsent, Mark Critch, Mary Walsh,Cathy Jones",1,
2013,The Green Inferno,,Open Road Films,"Eli Roth (director); Lorenza Izzo, Ariel Levy, Daryl Sabara, Kirby Bliss Blanton",0,
2013,Oculus,,Relativity Media,"Mike Flanagan (director/screenplay); Jeff Howard (screenplay); Karen Gillan,Katee Sackhoff, Brenton Thwaites, Rory Cochrane",0,
2013,August: Osage County,,The Weinstein Company,"John Wells (director); Tracy Letts (screenplay); Meryl Streep, Julia Roberts, Sam Shepard, Dermot Mulroney, Chris Cooper, Ewan McGregor, Abigail Breslin,Juliette Lewis, Benedict Cumberbatch, Misty Upham, Margo Martindale",0,
2013,Metallica Through the Never,,Picturehouse,"Nimród Antal (director/screenplay); Dane DeHaan, Lars Ulrich, Kirk Hammett,James Hetfield, Robert Trujillo",0,
2013,Sunshine on Leith,,Entertainment Film Distributors,"Dexter Fletcher (director); Stephen Greenhorn (screenplay); George MacKay,Antonia Thomas, Freya Mavor, Peter Mullan, Jason Flemyng",0,
2013,How I Live Now,,"Cowboy Films, Film4","Kevin Macdonald (director); Jeremy Brock, Tony Grisoni, Penelope Skinner(screenplay); Saoirse Ronan, Tom Holland, Anna Chancellor",1,
2013,The Face of Love,,IFC Films,"Arie Posin (director/screenplay); Matthew McDuffie (screenplay); Robin Williams,Annette Bening, Ed Harris, Amy Brenneman, Jess Weixler, Linda Park",2,
2013,Insidious: Chapter 2,,FilmDistrict,"James Wan (director); Leigh Whannell (screenplay); Patrick Wilson, Rose Byrne,Lin Shaye, Ty Simpkins",0,
2013,Life of Crime,,Lionsgate,"Daniel Schechter (director/screenplay); Elmore Leonard (screenplay); Jennifer Aniston, Tim Robbins, Isla Fisher, John Hawkes, Mos Def",1,
2013,Filth,,Lionsgate,"Jon S. Baird (director/screenplay); James McAvoy, Imogen Poots, Jamie Bell,Eddie Marsan, Jim Broadbent",2,
2013,Battle of the Year,,Screen Gems,"Benson Lee (director); Brin Hill, Chris Parker (screenplay); Josh Holloway, Laz Alonso, Josh Peck, Caity Lotz, Chris Brown",1,
2013,Machete Kills,,Open Road Films,"Robert Rodriguez (director); Kyle Ward (screenplay); Danny Trejo, Michelle Rodriguez, Sofía Vergara, Amber Heard, Antonio Banderas, Lady Gaga, Cuba Gooding Jr., Walt Goggins, William Sadler, Demián Bichir, Mel Gibson",0,
2013,Knights of Badassdom,,Roadside Attractions,"Joe Lynch (director); Kevin Dreyfuss, Matt Wall (screenplay); Peter Dinklage,Steve Zahn, Ryan Kwanten, Summer Glau, Margarita Levieva, Jimmi Simpson",0,
2013,Attarintiki Daredi,,Sri Venkateswara Cine Chitra,"Trivikram Srinivas (director/screenplay); Pawan Kalyan, Samantha, Pranitha Subhash, Ali, Brahmanandam, M. S. Narayana, Boman Irani, Kota Srinivasa Rao",2,
2013,Baggage Claim,,Fox Searchlight Pictures,"David E. Talbert (director/screenplay); Paula Patton, Trey Songz, Adam Brody,Djimon Hounsou, Christina Milian, Taye Diggs",0,
2013,Captain Phillips,,Columbia Pictures,"Paul Greengrass (director); Billy Ray (screenplay); Tom Hanks, Barkhad Abdi",1,
2013,Cloudy with a Chance of Meatballs 2,,Columbia Pictures / Sony Pictures Animation,"Cody Cameron, Kris Pearn (directors); John Francis Daley, Jonathan M. Goldstein, Erica Rivinoja (screenplay); Bill Hader, Anna Faris, James Caan, Andy Samberg, Neil Patrick Harris, Benjamin Bratt, Terry Crews, Will Forte, Kristen Schaal",0,
2013,Udhao,,Kazi House Productions,"Amit Ashraf (director/writer); Monir Ahmed, Shahed Ali as Babu, Nawshaba Ahmed as Mita, Animesh Aich as Raj, Reetu Satter as Remi Rahman, Shahin Akter Swarna",1,
2013,The Book Thief,,20th Century Fox,"Brian Percival (director); Michael Petroni (screenplay); Sophie Nélisse, Geoffrey Rush, Emily Watson",2,
2013,The Counselor,,20th Century Fox,"Ridley Scott (director); Cormac McCarthy (screenplay); Michael Fassbender,Penélope Cruz, Cameron Diaz, Javier Bardem, Brad Pitt",1,
2013,Grace Unplugged,,Roadside Attractions,"Brad J. Silverman (director); AJ Michalka, James Denton, Kevin Pollak",0,
2013,Runner Runner,,20th Century Fox,"Brad Furman (director); Brian Koppelman, David Levien (screenplay); Justin Timberlake, Gemma Arterton, Ben Affleck",2,
2013,The Secret Life of Walter Mitty,,New Line Cinema / 20th Century Fox,"Ben Stiller (director); Steve Conrad (screenplay); Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn",0,
