Language,Year,Title,Genre,Director,Cast
Hindi,2014,Take It Easy,Drama,Sunil Prem Vyas,"Vikram Gokhale, Dipannita Sharma, Raj Zutshi, Anang Desai, Joy Sengupta, Sulbha Arya, Vijay Kashyap, Supriya Karnik, Jyoti Gauba, Yash Ghanekar, Prasad Reddy, Smera Jadhav[135]"
Hindi,2014,Badlapur Boys,Sports,Shailesh Verma,"Shashank Udapurkar, Annu Kapoor, Anupam Maanav, Kishori Shahane, Aman Verma, Saranya Mohan[136][137]"
Hindi,2014,Life Mein Twist Hai,Drama/Romance,Dinesh Soni,Shyam Avtar Kedia[138][139]
Hindi,2014,LUV...Phir Kabhie,Drama,Ajay Yadav,"Saurabbh Roy, Arijita Roy, Meghna Patel, Narendra Bedi[140][141]"
Hindi,2014,Main Aur Mr. Riight,Comedy/Romance,Adeeb Rais,"Varun Khandelwal, Danny Saru, Shenaz Treasuryvala, Barun Sobti, Kavi Shastri, Maia Sethna, Anagha Mane, Neha Gosain[142][143]"
Hindi,2014,Objection My God,Comedy,Amit Khan,"Makrand Deshpande, Sanjay Mishra, Rajesh Khattar, Zarina Wahab[144][145][146]"
Hindi,2014,Room - The Mystery,Suspense/Thriller,Faizal Khan,"Atif Jamil, Ibra Khan, Roselyn Dsouza, Eshu Gambhir, Himir Gandhi, Rohit Juneja, Shashwita Sharma[147][148]"
Hindi,2014,PK,Comedy/Drama,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Sanjay Dutt, Ram Sethi, Boman Irani[106]"
Hindi,2014,Lingaa,Action/Thriller,K.S. Ravikumar,"Rajinikanth, Sonakshi Sinha, Jagapathi Babu, Anushka Shetty, Dev Gill, Santhanam, Karunakaran, Brahmanandam, Radha Ravi, Vijayakumar, K Vishwanath, Manobala, Illavarasu[149][150][151][152]"
Hindi,2014,Ugly,Thriller,Anurag Kashyap,"Abir Goswami, Girish Kulkarni, Madhavi Singh, Ronit Roy, Anshikaa Shrivastava, Rahul Bhat, Tejaswini Kolhapure, Sandesh Jadhav[153]"
