#Year,Title,Genre,Director,Cast,Level
2013,Action,Comedy,Anil Sunkara,"Allari Naresh, Sudeep, Shaam, Vaibhav Reddy,Raju Sundaram, Neelam Upadhyaya, Kamna Jethmalani, Sneha Ullal",2
2013,Balupu,Masala,Gopichand Malineni,"Ravi Teja, Shruthi Hassan, Anjali,Brahmanandam, Prakash Raj",1
2013,Moksha,Horror,Srikanth Vemulapalli,"Meera Jasmine, Rajeev Mohan, Disha Pandey,Nasser",0
2013,Oh My Love,Romance,M J Reddy,"Raja, Nisha",1
2013,Mallela Theeram Lo Sirimalle Puvvu,Romantic drama,GV Rama Raju,"Kranthi, Sri Divya, Jorge",0
2013,Operation Dhuryodhana 2,Political drama,Nandam Srinivasa Rao,"Jagapathi Babu, Posani Krishna Murali, Shayaji Shinde, Babu Mohan",1
2013,Sahasam,Action,Chandra Sekhar Yeleti,"Gopichand, Taapsee Pannu, Shakti Kapoor, Suman",0
2013,Pelli Pustakam,Romance,Ramakrishna Machakanti,"Rahul, Neethi Taylor",1
2013,Om 3D,Action,Sunil Reddy,"Nandamuri Kalyan Ram, Kriti Kharbanda, Nikesha Patel",1
2013,Kevvu Keka,Action,Devi Prasad,"Allari Naresh, Sharmila Mandre",1
2013,Romance,Romance,Swamy,"Prince, Manasa Himavarsha, Dimple Chopade",1
2013,Abbayi Class Ammayi Mass,Romance,Koneti Srinu,"Varun Sandesh, katrina kaif, Ali",1
2013,1000 Abadhdhalu,Comedy,Teja,"Sai Ram Shankar, Esther Noronha",1
2013,Pusthakamlo Konni Pageelu Missing,Black comedy,Sajid Qureshi,"Sree, Supraja, Rahul, Satish, Masth Ali",0
2013,Jagadguru Adi Shankara,DevotionalBiography,J.K.Bharavi,"Akkineni Nagarjuna, Mohan Babu, Kaushik Babu, Sai Kumar,Srihari, Suman",0
2013,Dalam,Action,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Abhimanyu Singh, Kishore,Nasser, Nathalia Kaur",0
2013,Adda,Action,Sai Karthik,"Sushanth, Shanvi Srivastava, Raghu Babu, Kota Srinivasa Rao,Dev Gill",1
2013,Antaku Mundu Aa Taruvaata,Romance,Mohan Krishna Indraganti,"Sumanth Ashwin, Eesha",0
2013,Telisi Teliyaka,Romance,K. Jayaprakash,"Geethanandh, Maithili, Krishna, Hasini",0
2013,Athadu Aame O Scooter,Comedy,Gangarapu Lakshman,"Vennela Kishore, Priyanka Chabra",0
2013,Prema Oka Maikam,Romance,Chandu,"Rahul, Charmee Kaur, Ravi Babu, Saranya Nag",0
2013,Waiting for You,Romance,Sunil Kumar Reddy,"Sai Anil, Gayathri, Raghu Babu",1
2013,Toofan,Action,Apoorva Lakhia,"Ram Charan Tej, Priyanka Chopra, Prakash Raj, Srihari, Mahie Gill, Tanikella Bharani",1
2013,Kiss,Romance,Adivi Sesh,"Adivi Sesh, Priya Banerjee, Dr. Bharat Reddy",2
2013,Kamina,Action/Drama,Lakshmikanth Chenna,"Srihari, Sai Kumar, Roja, Lekha Washington, Brahmaji, Krishi Arimanda, Ashish Vidyarthi",0
2013,Naa Sami Ranga,Comedy,Subramanyam Pachcha,"Dilip, Saikumar Pampana, SreeTeja, Yashaswini, Priyanka,Ashish Vidyarthi",0
2013,Potugadu,Romantic comedy,Pawan Wodeyar,"Manoj Manchu, Sakshi Chaudhary, Simran Kaur Mundi, Rachel, Anupriya",1
2013,Welcome Obama,Drama,Singeetham Srinivasa Rao,"Sanjeev, Rachel, Urmila",1
2013,Break Up,Romance,Amar Kamepalli,"Ranadhir Reddy, Swathi Dikshit, Suresh, Allari Subhashini, Harish",1
2013,Nirbhaya Bharatham,Crime drama,R. Narayana Murthy,"R. Narayana Murthy, Nancy Angel, Spandana, Amarendra, Arif",0
2013,Music Magic,Musical,Mantraakshar D. S.,"Rahul, Trinath, Kimaya, Henna Chopra",1
2013,Barrister Shankar Narayan,Romantic drama,N. A. Thara,"Raj Kumar, Divya Prabha, Alia Trivedi, Lakshmi, M. S. Narayana",0
2013,Atharintiki Daaredi,Romance,Trivikram Srinivas,"Pawan Kalyan, Samantha Ruth Prabhu, Pranitha, Nadiya Moidu,Boman Irani",2
2013,Police Game,Action,Sahadeva Reddy,"Srihari, Neenu Karthika, Kota Srinivasa Rao, Brahmanandam, Jeeva",2
