YEAR,Title,Genre,Director,Cast,LEVEL
2001,Malaikottai,Action,Boopathy Pandian,"Vishal, Priyamani",1
2001,Meendum Chandramathi,Drama,Kamalraj,"Gopal, Chandramathi",1
,Mudhal Mudhalai,Drama,Benjamin,"Mahesh, Madhu Sandha",1
2001,Vegam,Thriller,K. R. Udhayashankar,"Prabhu, Ashwin Sekar, Archana",1
2001,Kattradhu Thamizh,Drama,Ram,"Jiiva, Anjali",1
2001,Pasupathi c/o Rasakkapalayam,Action,K. Selva Bharathy,"Ranjith, Sindhu Tolani, Megha Nair",1
2001,Sringaram,Drama,Saradha Ramanathan,"Aditi Rao Hydari, Manoj K. Jayan, Hamsa Moily",1
2001,Thavam,Action,Sakthi Paramesh,"Arun Vijay, Arpitha, Vandhana Gupta",1
2001,Veeramum Eeramum,Action,Sanjay Ram,"Saravanan, Deepan Chakravarthy, Sonika, Sanjay Ram, Dhanya Mary Varghese",1
2001,Naalaiya Pozhuthu Unnodu,Romance,Murthy Kannan,"Prithvi Rajan, Karthika",1
2001,Niyabagam Varuthe,Drama,K. S. Raj,"Venkat Prabhu, S. P. B. Charan, Suha",1
2001,Agra,Drama,Chithrai Selvan,"Vikas, Anjali",1
2001,Azhagiya Tamil Magan,Romantic Thriller,Bharathan,"Vijay, Shriya Saran, Namitha",1
2001,Kannamoochi Yenada,Romantic Comedy,V. Priya,"Sathyaraj, Prithviraj, Sandhya, Raadhika Sarathkumar",1
2001,Machakaaran,Romance,Tamilvanan,"Jeevan, Kamna Jethmalani",1
2001,Polladhavan,Action Thriller,Vetrimaaran,"Dhanush, Divya Spandana, Daniel Balaji",1
2001,Vel,Action,Hari,"Suriya, Asin, Kalabhavan Mani",1
2001,Kelvikuri,Drama,Jailani,"Manikandan, Jailani, Sona Heiden",1
2001,Onbadhu Roobai Nottu,Drama,Thangar Bachan,"Sathyaraj, Archana, Nassar, Rohini",1
2001,Oram Po,Comedy,Pushkar-Gayathri,"Arya, Pooja, Lal, John Vijay",1
2001,Rameswaram,Drama,S. Selvam,"Jiiva, Bhavana",1
2001,Evano Oruvan,Drama,Nishikant Kamat,"R. Madhavan, Sangeetha",1
2001,Kallori,Drama,Balaji Shakthivel,"Akhil, Tamannaah",1
2001,Billa,Action,Vishnuvardhan,"Ajith Kumar, Nayantara, Namitha, Prabhu",1
2001,Mirugam,Drama,Samy,"Aadhi, Padmapriya, Sona Heiden",1
2001,Kanna,Romance,Anand,"Raja, Sheela, Prakash Raj",1
2001,Puli Varudhu,Romance,G. V. Kumar,"Githan Ramesh, Mallika Kapoor",1
2001,Pazhaniappa Kalloori,Drama,R. Pawan,"Pratheep, Arjuman, Madhu Shalini, Akshaya",1
2001,Yaaruku Yaaro,Romance,Joe Stanley,"Sam Anderson, Varnika, Jothi",1
2002,Bheema,Action,N. Linguswamy,"Vikram, Trisha",1
2002,Kaalai,Action,Tarun Gopi,"Silambarasan, Vedhika",1
2002,Pazhani,Action,Perarasu,"Bharath, Kajal Aggarwal, Kushboo",1
2002,Pirivom Santhippom,Family Drama,Karu Pazhaniappan,"Cheran, Sneha",1
2002,Vaazhthugal,Romance,Seeman,"R. Madhavan, Bhavana",1
2002,Pidichirukku,Romance,Kanagu,"Ashok, Vishaka",1
2002,Ashoka,Action,Prem,"Prem, Anushree, Pooja Bharathi",1
2002,Indiralohathil Na Azhagappan,Comedy,Thambi Ramaiah,"Vadivelu, Yashimi Sharma, Suja",1
2002,Thangam,Action,G. Kicha,"Sathyaraj, Megha Nair, Goundamani",1
2002,Thodakkam,Thriller,Muthukumar,"Rishi, Abhinay, Raghu Vannan, Monica, Meha Nair",1
2002,Sadhu Miranda,Thriller,Siddique,"Prasanna, Abbas, Kavya Madhavan",1
2002,Anjathe,Action Thriller,Mysskin,"Narain, Ajmal Ameer, Prasanna, Vijayalakshmi",1
2002,Kadhal Kaditham,Romance,Mukesh,"Balaji, Amisha",1
2002,Nenjathai Killadhe,Romance,Agathiyan,"Vikranth, Bharathi, Yugendran",1
2002,Akku,Drama,Mamani,"Anu Hasan, Riyaz Khan, Rakshai",1
2002,Thoondil,Romance,K. S. Adhiyaman,"Shaam, Sandhya, Divya Spandana",1
2002,Valluvan Vasuki,Romance,K. Bharathi,"Sathya, Swetha",1
2002,Sila Nerangalil,Thriller,Jayaraj,"Vincent Asokan, Navya Nair, Vineeth",1
2002,Thotta,Action,Selva,"Jeevan, Priyamani",1
2002,Vambu Sandai,Action,Raj Kapoor,"Sathyaraj, Uday Kiran, Diya",1
2002,Ezhuthiyatharadi,Action,Sri Sai Raghavendar,"Ramana, Swathi",1
2002,Ponmagal Vandhal,Drama,Ramamurthy,Pandiarajan,1
2002,Velli Thirai,Drama,Viji,"Prakash Raj, Prithviraj, Gopika",1
2002,Theekuchi,Action,Yuvarajan,"Jai Varma, Menagai",1
2002,Unakkaga,Drama,Manoharan,"Riyaz Khan, Megha Nair",1
2002,Vaitheeswaran,Action,R. K. Vidhyadaran,"Sarath Kumar, Meghna Naidu",1
2002,Inba,Action,Vendhan,"Shaam, Sneha",1
2002,Kannum Kannum,Romance,G. Marimuthu,"Prasanna, Udhayathara",1
2002,Sandai,Action,Sakthi Chidambaram,"Sundar C., Ragini, Nadhiya, Namitha",1
2002,Singakutty,Action,A. Venkatesh,"Sivaji, Gowri Munjal",1
2002,Azhagu Nilayam,Action,Rajaji,"Riyaz Khan, Vindhiya, Swarnamalya",1
2002,Kattuviriyan,Thriller,Kalaipuli G.Sekharan,"Malavika, Ram, Alex",1
2002,Tharagu,Drama,Kalanidhi,"Raj, Lakshana",1
2002,Vedha,Romance,Nithya Kumar,"Arun Vijay, Sheela",1
2002,Pasumpon Devar Varalaru,Biopic,Abraham Lincoln,Vagai Chandrasekar,1
2002,Vilaiyattu,Drama,Ezhilvendhan,"Ezhilvendhan, Saranya",1
2002,Yaaradi Nee Mohini,Romance,Mithran Jawahar,"Dhanush, Nayantara, Karthik Kumar",1
2002,Nepali,Action,V. Z. Durai,"Bharath, Meera Jasmine",1
2002,Santosh Subramaniam,Family Drama,M. Raja,"Jayam Ravi, Genelia D'Souza, Prakash Raj",1
2002,Thozha,Drama,N. Sundaresan,"Nithin Sathya, Vijay Vasanth, Premji Amaran, Ajay Raj, Jennifer",1
2002,Arai En 305-il Kadavul,Science Fiction,Chimbu Deven,"Prakash Raj, Santhanam, Karunas, Jyothirmayi, Madhumitha",1
2002,Chakkara Viyugam,Action,Udhayabhanu Maheswaran,"Natarajan Subramaniam, Raaghav, Jayasurya",1
2002,Iyakkam,Action,Sanjay Ram,"Rishi Kumar, Shruthi Raj",1
2002,Kuruvi,Action,S. Dharani,"Vijay, Trisha",1
2002,Arasangam,Action,R. Madhesh,"Vijayakanth, Navneet Kaur, Sheryl Pinto",1
2002,Malarinum Melliya,Drama,Selvaraj,"Vignesh, Varshini",1
2002,Silandhi,Thriller,Aathiraj,"Munna, Monica",1
2002,Kadhal Endraal Enna,Romance,Kalimuthu,"Vishwa, Diya",1
2002,Kadhal Vaanile,Romance,Venkateswara,"Hari, Jothi Krishna",1
2002,Ghatotkajan,Animation,Singeetham Srinivasa Rao,,1
2002,Pandi,Action,Rasu Madhuravan,"Raghava Lawrence, Sneha, Namitha",1
2002,Kaalaipani,Drama,Rajesh Selva,Vasundhara,1
2002,Kathavarayan,Action,Salangai Durai,"Karan, Vidisha, Radha",1
